,ds,y
0,2009-12-01,54513.500000000255
1,2009-12-02,63352.50999999986
2,2009-12-03,74037.90999999984
3,2009-12-04,40732.91999999996
4,2009-12-05,9803.050000000001
5,2009-12-06,24613.640000000072
6,2009-12-07,45083.35000000025
7,2009-12-08,49517.22999999991
8,2009-12-09,40616.09000000004
9,2009-12-10,44442.10999999981
10,2009-12-11,39659.59999999993
11,2009-12-13,22313.090000000117
12,2009-12-14,73327.65999999957
13,2009-12-15,50340.240000000085
14,2009-12-16,52792.25000000017
15,2009-12-17,31239.470000000114
16,2009-12-18,42588.09000000002
17,2009-12-20,11450.680000000015
18,2009-12-21,16367.840000000057
19,2009-12-22,28023.430000000015
20,2009-12-23,10871.100000000002
21,2010-01-04,13481.250000000044
22,2010-01-05,19199.290000000034
23,2010-01-06,8746.179999999997
24,2010-01-07,73085.73999999996
25,2010-01-08,30319.050000000014
26,2010-01-10,23688.599999999995
27,2010-01-11,37887.25999999997
28,2010-01-12,40856.52999999995
29,2010-01-13,22489.069999999894
30,2010-01-14,31672.73000000007
31,2010-01-15,13515.890000000041
32,2010-01-17,17578.240000000027
33,2010-01-18,21451.55999999999
34,2010-01-19,33352.56100000009
35,2010-01-20,19140.159999999996
36,2010-01-21,27391.960000000057
37,2010-01-22,36814.82000000009
38,2010-01-24,16070.240000000062
39,2010-01-25,23045.60000000009
40,2010-01-26,47243.84000000004
41,2010-01-27,28703.599999999933
42,2010-01-28,19865.670000000042
43,2010-01-29,28403.98099999992
44,2010-01-31,18704.680000000048
45,2010-02-01,20205.000999999997
46,2010-02-02,21696.70000000003
47,2010-02-03,21450.190999999995
48,2010-02-04,22676.500000000113
49,2010-02-05,21931.039999999986
50,2010-02-07,17078.210000000006
51,2010-02-08,17438.519999999997
52,2010-02-09,19666.540000000008
53,2010-02-10,9583.089999999973
54,2010-02-11,15114.400000000021
55,2010-02-12,11393.610000000015
56,2010-02-14,17914.450000000063
57,2010-02-15,42784.780999999915
58,2010-02-16,31203.679999999902
59,2010-02-17,26616.23000000009
60,2010-02-18,35811.190000000024
61,2010-02-19,27254.860000000004
62,2010-02-21,11477.91100000001
63,2010-02-22,26359.130000000085
64,2010-02-23,22707.440000000053
65,2010-02-24,33086.29100000003
66,2010-02-25,46642.82
67,2010-02-26,16703.700999999997
68,2010-02-28,16917.020000000048
69,2010-03-01,25831.210000000014
70,2010-03-02,26423.870000000003
71,2010-03-03,34114.91000000015
72,2010-03-04,32369.19000000004
73,2010-03-05,27684.730000000072
74,2010-03-07,20001.220000000136
75,2010-03-08,37256.01000000001
76,2010-03-09,22035.75000000005
77,2010-03-10,27547.430000000008
78,2010-03-11,24591.91000000007
79,2010-03-12,21712.540000000045
80,2010-03-14,9032.700000000004
81,2010-03-15,27662.45100000002
82,2010-03-16,24059.939999999984
83,2010-03-17,30795.24000000003
84,2010-03-18,41145.01000000003
85,2010-03-19,45764.450000000164
86,2010-03-21,20873.23000000006
87,2010-03-22,25614.490000000013
88,2010-03-23,56488.729999999996
89,2010-03-24,30179.26000000009
90,2010-03-25,38993.080000000096
91,2010-03-26,32546.050000000014
92,2010-03-28,22562.62000000011
93,2010-03-29,59935.77000000001
94,2010-03-30,38630.009999999806
95,2010-03-31,29718.329999999965
96,2010-04-01,30823.150000000078
97,2010-04-06,19476.520000000015
98,2010-04-07,34590.90999999997
99,2010-04-08,47626.519999999946
100,2010-04-09,16988.41999999999
101,2010-04-11,19967.320000000032
102,2010-04-12,27221.411000000055
103,2010-04-13,26027.600000000137
104,2010-04-14,27214.080000000096
105,2010-04-15,29613.48000000005
106,2010-04-16,19561.050000000014
107,2010-04-18,24096.880000000117
108,2010-04-19,45287.8699999999
109,2010-04-20,29204.700000000048
110,2010-04-21,29469.46000000006
111,2010-04-22,43505.02999999995
112,2010-04-23,16737.31
113,2010-04-25,16774.11999999999
114,2010-04-26,36270.85
115,2010-04-27,46378.58000000011
116,2010-04-28,32562.560000000103
118,2010-04-30,29283.00000000003
119,2010-05-02,12367.830000000013
120,2010-05-04,22745.039999999997
121,2010-05-05,28118.530000000002
